gender,Near_Location,Partner,Phone,Contract_period,Age,Month_to_end_contract,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
0,1,0,1,1,28,1,1.704473442,0.886979724,1
1,1,0,1,1,30,1,2.848327284,2.863162636,0
0,1,0,1,1,27,1,1.075700969,1.580902001,1
1,1,0,1,6,27,6,2.399736098,2.339798065,0
1,1,1,0,1,27,1,1.719377121,1.340513653,1
0,1,1,1,12,26,11,1.061644253,1.027229482,0
1,1,1,1,6,29,5,1.725834565,0.894814774,1
0,1,0,1,1,24,1,0.465045229,0,1
1,1,0,1,1,24,1,1.782107168,2.126977713,1
1,0,0,1,1,30,1,1.851313435,1.363330028,1
1,0,0,1,1,30,1,0.875440252,1.002298542,0
1,1,0,1,1,32,1,3.824978831,4.100003958,0
0,1,1,1,6,30,6,1.522096643,1.624436031,0
0,0,0,1,1,25,1,3.411634956,3.34178017,0
1,1,1,1,1,28,1,3.715492979,3.907798981,0
1,1,1,1,6,26,6,0.631730592,0.702094819,0
0,1,0,1,1,24,1,0.26891927,0.102648979,1
1,1,0,1,1,23,1,1.740580473,1.135342274,1
0,1,1,1,6,28,5,2.946074826,2.935886608,0
1,1,1,1,1,25,1,0.118733876,0,1
1,1,1,1,12,30,11,1.173747718,1.297812289,0
0,1,0,1,6,28,6,2.246599383,2.320004834,0
0,1,0,1,1,26,1,2.370527312,2.646769817,1
1,0,1,1,1,27,1,0.474776519,0.502559212,0
1,1,1,1,12,26,10,1.494063635,1.397363976,0
1,0,0,0,1,28,1,2.191897557,2.142850991,0
0,1,1,1,1,28,1,3.77478737,3.756804542,0
0,1,1,1,1,31,1,2.48453941,1.38096129,1
0,1,0,1,6,21,5,2.175457765,1.371496072,1
1,1,0,1,6,25,5,0.669805658,0.363487178,1
1,1,1,1,6,30,6,2.938672729,2.878774224,0
1,1,1,1,6,31,6,1.040157664,0.98488222,0
1,1,0,1,1,26,1,1.380921251,0.270031171,1
1,1,0,1,1,26,1,1.746990599,1.023474246,1
1,1,0,1,1,25,1,2.40391921,1.778108383,1
0,1,0,1,1,29,1,1.046981697,0.470014417,1
0,1,1,1,1,33,1,2.911744013,2.944011414,0
0,1,1,1,1,26,1,1.211587958,0.974721694,1
0,1,0,1,12,31,12,1.451435329,1.439018353,0
1,0,0,1,1,23,1,1.928169268,1.531733697,1
1,1,0,1,1,28,1,1.015279821,1.067772138,0
0,1,1,1,12,34,9,2.64277197,2.492826314,0
0,0,0,1,1,30,1,2.34439526,2.493625766,0
0,1,1,1,12,29,12,2.275885467,2.53118553,0
0,1,0,1,12,27,11,5.41005446,5.368415309,0
1,1,0,0,1,25,1,0.955718635,0.365875223,1
0,1,1,1,6,29,6,3.272647096,3.407151016,0
1,1,1,1,12,29,12,2.745098447,2.733828019,0
0,1,1,1,12,32,12,0.927542788,0.928325997,0
1,1,1,1,1,31,1,1.818105337,1.822569194,0
1,1,1,1,6,33,4,1.691768584,1.551408958,0
0,0,0,1,1,23,1,0.55693031,0.701643138,1
1,0,0,1,1,32,1,1.208335701,0.696494238,1
0,1,0,1,1,30,1,0.992311766,0.645440714,1
1,0,1,1,1,31,1,0.973834469,0.550284908,1
0,1,1,1,1,25,1,0.458255577,0.446561644,0
1,1,0,1,12,32,10,2.303419955,2.284095927,0
0,0,0,1,6,29,6,1.872940892,2.012916065,1
1,0,1,1,1,28,1,1.110288457,1.174485533,0
1,1,0,1,1,34,1,2.17161331,2.057809662,0
1,0,1,1,1,33,1,1.162386576,1.171305437,0
0,0,0,0,1,25,1,1.403484464,2.463702783,1
1,0,1,1,6,29,5,0,0,1
0,1,0,1,12,28,9,1.352800436,1.316758784,0
1,1,1,1,12,28,12,0.915233402,0.850286299,0
1,1,1,0,1,32,1,1.700980784,1.340857052,1
0,1,0,1,6,34,6,1.520407158,1.541346331,0
0,1,0,1,6,27,6,2.515823611,2.504537285,0
1,1,0,0,1,26,1,0.770640902,0.447265032,1
1,0,0,1,1,33,1,3.463363567,3.597863048,0
1,1,0,1,1,32,1,1.02494968,0.906517119,1
0,1,0,1,1,28,1,0.485254995,0.398128545,0
0,1,1,1,12,29,12,1.587011611,1.595225003,0
1,1,1,1,12,35,12,2.58638924,2.661294919,0
0,1,0,1,1,25,1,2.086680187,2.207409811,0
1,1,0,1,6,30,6,2.057350614,2.02621482,0
1,0,1,0,12,29,12,3.521502051,3.368136868,0
1,1,1,1,12,37,12,1.208614381,1.214085466,0
1,1,0,1,1,36,1,1.604291846,1.645825408,0
0,0,1,1,1,22,1,1.853267668,2.07571928,1
1,1,0,1,1,32,1,2.015868106,0.872374844,1
1,0,0,1,6,32,6,0.05351943,0.03331053,0
0,0,1,1,6,30,6,3.04160462,3.110076818,0
1,1,1,1,1,29,1,1.019021746,1.01756505,0
0,1,1,1,12,30,11,2.076114091,2.099662224,0
1,1,0,1,12,28,7,3.486852744,3.590444338,0
1,1,1,1,12,32,9,0.073932144,0.054158372,0
1,1,0,1,1,31,1,2.657214169,2.707547411,0
0,1,1,0,1,26,1,1.015282055,0.579609232,1
1,1,0,1,12,30,11,1.699011556,1.753580977,0
0,1,1,1,6,26,6,2.531159143,2.446841689,0
1,1,1,1,12,26,7,1.955051601,2.072586622,0
0,1,0,1,1,29,1,0.721352671,0.931273698,1
1,1,1,1,1,30,1,4.079398614,4.084065022,0
1,0,0,1,1,22,1,1.032386238,0.868340627,1
0,1,1,1,1,23,1,2.331755077,2.602543735,1
1,0,0,1,1,31,1,1.952119241,2.080270203,1
1,1,0,1,1,32,1,0.672266906,0.577586582,0
0,1,1,1,6,34,5,1.432463506,1.510779464,0
1,1,0,1,1,31,1,1.828341255,1.977281163,0
0,1,0,1,6,29,5,0,0,0
1,1,1,1,1,27,1,0.606544998,0,1
1,1,1,0,1,26,1,0.810200055,0.049766887,1
1,1,0,1,1,29,1,1.516261151,1.672182942,0
0,1,1,1,1,29,1,2.170287437,1.984470406,0
1,1,0,1,12,29,8,2.969461288,3.15001036,0
1,1,0,1,1,35,1,2.45838307,2.367257254,0
0,1,0,1,1,29,1,1.571666415,1.263943614,1
0,1,0,1,1,27,1,2.318558277,2.264364269,1
1,1,1,1,12,30,12,1.777242846,1.759083308,0
0,1,1,1,12,31,7,0.674952887,0.740973544,0
1,1,0,1,1,27,1,3.411260016,3.324237742,0
1,1,0,1,1,29,1,2.179249856,0.94272186,1
1,1,0,1,1,31,1,1.707726563,1.653354341,0
0,1,1,1,12,30,11,4.098608091,4.057948137,0
0,1,0,1,1,33,1,0.947355393,0.947270875,0
0,0,0,1,1,28,1,2.896515409,2.974811504,0
1,1,0,1,1,33,1,2.611953899,2.66956516,0
0,0,0,1,1,30,1,3.621132629,3.449066327,0
1,0,1,1,12,29,8,1.670239674,1.775960235,0
1,1,0,1,1,32,1,4.256038926,4.214914098,0
0,1,1,1,6,27,4,1.047561269,1.087669845,0
0,1,0,0,12,27,12,2.18816154,2.029419097,0
0,1,0,1,1,30,1,2.4279509,2.484467192,0
0,1,0,1,1,29,1,1.093907676,0.609348045,1
0,1,1,1,1,26,1,0.643748107,0.871314836,0
1,1,1,1,12,30,11,1.696863335,1.60124105,0
0,0,1,0,6,33,5,2.993532299,2.91093367,0
1,0,1,1,12,29,12,2.669411403,2.791069086,0
0,1,0,0,1,29,1,1.690379652,1.595064889,0
1,1,1,1,12,33,9,1.538505969,1.61770149,0
1,1,0,1,1,27,1,1.381842147,1.588576366,1
0,1,1,1,12,27,12,0.792885095,0.876396734,0
0,1,0,1,1,32,1,1.356763305,1.304960787,0
0,1,1,1,1,34,1,1.010771302,0,1
1,1,0,1,1,25,1,0.342664167,0,1
1,1,1,1,6,30,6,0.275542204,0.248095009,0
0,1,1,1,12,31,12,3.019506675,2.990915299,0
1,1,1,1,6,32,6,0.894201089,0.742429766,0
0,1,1,0,12,29,11,1.055493356,0.968009833,0
0,1,1,0,6,29,3,0.540568505,0.3361079,0
1,1,1,1,1,31,1,3.80716382,3.747251967,0
1,1,0,1,1,23,1,1.69263189,2.279115002,1
0,1,0,0,1,32,1,0.981601,0,1
0,0,0,1,1,26,1,0.683155193,0.647429215,0
1,1,0,1,1,25,1,2.3757179,1.831001798,1
0,1,0,1,12,31,11,2.634485927,2.607430099,0
0,1,1,1,12,31,12,1.547163357,1.53752241,0
0,1,1,1,1,25,1,2.125158406,2.272613082,1
1,1,0,1,6,27,6,2.21196037,2.28787549,0
0,1,1,1,12,30,12,3.21703783,3.272678396,0
1,1,0,1,12,31,8,2.710671452,2.696432781,0
1,1,0,1,1,34,1,1.084722803,0.992876663,0
1,0,1,1,1,24,1,1.156901981,0.136658094,1
1,1,1,1,1,31,1,1.77847795,1.621739043,0
1,1,0,1,1,27,1,1.833054966,0.006397988,1
0,1,0,1,1,25,1,3.055354438,3.155389337,0
0,1,1,1,12,31,7,3.826136663,3.762327666,0
1,1,1,1,1,34,1,0,0,0
1,1,0,0,1,33,1,2.580107042,2.764951972,0
1,1,1,1,1,32,1,2.954807737,2.969610872,0
0,0,0,1,1,30,1,1.053708659,0.832012912,0
1,1,0,1,1,23,1,0.531235138,0.050790902,1
1,1,0,1,1,36,1,3.8538845,3.818110227,0
0,1,0,1,6,33,6,2.016015623,2.157848035,0
0,1,1,1,1,21,1,1.422052092,0.952895401,1
0,1,0,1,1,26,1,1.387079837,1.533598209,0
1,1,1,1,12,29,11,2.31250683,2.209283223,0
0,1,0,1,1,36,1,0.773241216,0.923840975,0
0,1,0,1,12,30,11,3.074747085,3.146814737,0
1,1,1,1,6,32,6,0.993323069,1.072998866,0
0,1,0,1,6,27,6,1.069101682,0.992996345,0
0,1,1,1,1,30,1,1.114341555,0.33953285,1
1,1,1,1,12,31,12,1.820575311,1.805374468,0
1,0,1,0,1,28,1,0.783106019,0.518711454,1
0,0,0,1,1,27,1,0.740677725,0.672147518,0
0,1,0,1,12,30,9,2.661745054,2.565624969,0
0,1,1,1,12,26,9,2.454228205,2.229717953,0
1,1,0,1,1,28,1,1.226166327,1.23289499,0
0,1,1,1,12,26,12,3.381583407,3.44356273,0
0,1,1,1,1,30,1,1.339230954,1.419077275,0
0,0,0,1,1,26,1,1.773829962,0.845133511,1
1,0,1,1,6,30,6,0.141387214,0.278048706,0
0,1,0,1,1,32,1,3.723612213,3.694481694,0
0,1,0,0,12,32,8,1.623602921,1.719971112,0
0,1,0,1,6,34,6,1.751059025,1.796576114,0
0,1,0,1,1,32,1,1.890616016,1.941822981,0
0,1,0,1,1,37,1,0.442847825,0.450495667,0
1,0,0,1,6,27,6,1.051825317,0.880933672,0
0,1,0,1,1,31,1,3.371847593,3.434645869,0
1,1,1,1,6,33,6,1.424129645,1.360733637,0
1,1,0,1,1,32,1,2.846286476,2.780503706,0
0,1,1,1,1,29,1,2.050958637,2.214583282,0
1,1,1,1,6,30,6,2.844360705,2.969156734,0
1,0,0,1,1,30,1,2.218290266,2.182237972,0
0,1,0,1,1,28,1,1.32234259,0.674884391,1
0,1,0,1,1,31,1,2.5153684,2.349060012,0
1,1,1,1,1,29,1,0.523272755,0.514994526,0
1,1,0,0,6,37,6,2.245480011,2.293716978,0
1,1,0,1,12,27,10,0.063540535,0,0
0,0,0,1,1,32,1,0.8811931,0.860618691,1
1,1,1,0,1,27,1,1.605157189,0.54505938,1
0,1,0,1,1,30,1,1.356641183,1.422662713,1
0,1,1,1,12,31,10,0.233121008,0.307719445,0
0,1,1,0,1,31,1,1.219282804,1.073094101,0
1,1,1,1,1,33,1,1.819346722,1.80381389,0
1,0,0,1,1,29,1,1.862062157,1.070964849,1
0,1,1,1,12,28,12,3.062514642,3.158108348,0
0,1,1,1,12,30,9,0,0.089706843,0
1,0,1,1,1,36,1,3.738860021,3.776367611,0
0,1,0,1,12,30,12,2.88173106,2.909448404,0
0,1,1,1,12,35,9,4.661961248,4.733059077,0
1,1,1,1,1,31,1,0.407797309,0.437144689,0
0,1,1,1,12,29,12,3.260814036,3.395352687,0
1,1,0,1,1,25,1,1.830976597,2.046696815,0
0,1,0,1,6,29,6,0.405714423,0.294920919,0
1,1,0,0,1,24,1,0.398887827,0.336138998,1
1,0,0,1,1,30,1,0.984061521,0.909779226,1
1,1,1,0,6,30,6,2.50703025,2.710478271,0
0,1,0,1,1,28,1,0.956177999,0.326426966,1
0,1,1,1,1,33,1,0.705005377,0.70114714,0
0,1,1,1,12,27,6,1.08848719,1.0890611,0
1,1,0,1,1,28,1,2.288697091,2.811712259,1
0,0,0,1,1,30,1,1.02573357,0.882147782,0
0,1,0,1,1,30,1,0.706398949,0.616059341,0
1,1,0,1,6,24,6,2.465613921,2.50528151,1
1,1,0,1,12,28,11,2.203082505,2.149543482,0
0,1,0,1,1,31,1,1.195440275,0.247636479,1
0,1,0,0,1,28,1,1.513745996,0,1
0,0,0,1,1,31,1,1.495868337,1.493340107,0
1,1,1,1,1,30,1,3.990446564,4.025627031,0
0,0,1,1,12,31,9,2.766979897,2.682790023,0
1,1,0,1,1,28,1,2.971051137,2.944886831,0
1,1,1,1,12,24,12,2.486675839,2.487343645,0
0,1,1,1,1,31,1,2.207351717,2.234250437,0
0,1,1,1,1,33,1,2.456624434,2.384780243,0
1,1,0,1,1,34,1,0.933508219,0.926731344,0
0,1,1,1,1,25,1,1.518795894,1.917871891,1
1,1,0,1,1,33,1,3.296790937,3.158237281,0
1,1,1,0,6,28,6,0.953294737,0,1
0,1,0,1,12,32,11,2.301247099,2.274572869,0
1,1,0,1,1,30,1,1.850264158,1.494718994,1
1,0,1,1,6,29,6,2.093533031,2.027589676,0
1,1,1,1,6,33,4,3.487659499,3.445422849,0
0,1,1,1,6,29,5,1.400368496,1.298426407,0
1,1,1,1,12,32,12,3.287171952,3.226253997,0
1,1,1,1,12,30,11,2.582536887,2.573796804,0
1,1,1,1,1,26,1,2.383708054,2.214755247,0
0,1,1,1,1,27,1,3.100581034,3.115990232,0
1,1,1,1,12,35,12,2.728726609,2.729694408,0
1,1,1,1,1,23,1,1.553378243,1.120284945,1
0,1,0,1,1,28,1,1.825684502,1.869340061,0
0,1,1,1,12,34,12,2.077615086,2.18257121,0
1,1,1,1,1,33,1,2.342231441,2.273536285,0
0,1,0,1,6,35,6,0.499382845,0.598531929,0
1,1,0,0,1,27,1,1.982849866,1.338570577,1
0,1,1,1,1,25,1,1.419160804,1.279736013,1
1,1,1,1,1,30,1,1.106102315,0.323180107,1
1,0,0,1,1,30,1,3.292075161,3.269879268,0
0,1,1,1,6,30,6,1.53389056,1.501382714,0
1,0,0,1,1,27,1,0.583166191,0.856076808,1
1,1,0,1,1,30,1,2.078957684,2.570451395,1
0,0,0,0,1,25,1,3.326047984,3.367505078,0
1,1,0,1,1,27,1,3.102028978,3.161236499,0
0,1,0,1,1,24,1,1.084734544,1.08190271,0
0,1,1,0,12,32,12,1.568822025,1.503662695,0
0,1,1,1,1,32,1,2.270248901,2.155382619,0
0,0,1,1,12,33,12,1.495574354,1.398550684,0
0,1,0,1,1,25,1,1.112718186,0.716620965,1
0,1,1,1,1,27,1,1.606106582,1.739639597,1
0,0,1,1,6,30,3,1.375239245,1.447278554,0
1,1,1,1,12,32,11,0.529620292,0.503589355,0
0,1,0,1,1,25,1,1.270843072,0.778387677,1
1,1,1,1,6,33,6,0.033474081,0.043083008,0
1,1,0,0,6,29,6,1.947272984,1.843211555,0
1,1,1,1,12,31,12,2.558091173,2.687686254,0
1,1,0,1,1,26,1,1.64521634,1.794744016,1
0,1,1,1,6,30,6,2.769079912,2.744666071,0
0,1,0,1,1,21,1,0.698017013,0.985245692,1
1,1,1,1,1,28,1,2.170308446,2.18873771,0
0,1,1,1,12,33,11,2.852659818,2.809402138,0
0,0,1,1,6,33,6,1.466807085,1.292824004,0
0,0,0,1,1,28,1,1.898403339,1.908260378,0
1,0,0,0,1,30,1,1.554916945,1.465169236,0
1,1,1,1,1,32,1,0.353748283,0.187002905,0
1,1,0,1,6,31,6,3.960515479,3.797594119,0
1,0,0,1,1,28,1,3.787758068,3.680691566,0
0,1,1,1,1,29,1,2.337525167,2.101642511,1
0,1,1,1,6,31,6,0.993280406,0.927078355,0
0,1,1,1,1,30,1,0,0,0
0,1,0,1,1,24,1,1.308771757,1.193287672,0
1,1,0,1,1,31,1,3.151553852,3.255014032,1
0,1,0,1,1,27,1,2.213064007,1.087306283,1
0,1,0,1,12,25,12,2.467928722,2.516112555,0
0,1,0,1,6,33,5,2.582291118,2.631972428,0
1,1,1,1,6,29,6,3.991598003,3.849426924,0
0,1,0,1,12,31,11,2.023341726,1.921442778,0
1,1,1,1,12,28,12,1.994282036,1.815132608,0
1,1,1,1,12,30,11,1.392810997,1.467260382,0
1,1,1,1,6,25,6,3.183699756,3.146769582,0
1,1,1,1,6,23,5,2.706416978,2.942269086,0
1,1,1,1,1,33,1,3.185853151,3.127688579,0
0,1,0,1,12,31,12,0.28163918,0.327686816,0
1,1,0,1,12,34,9,2.917852526,2.797272002,0
1,1,1,0,1,30,1,2.759734164,2.527019714,1
0,1,0,1,1,25,1,0.71510481,0.423585777,1
0,1,1,1,1,27,1,2.697925526,2.046725586,1
1,1,1,0,1,28,1,2.916168462,3.112616396,0
1,1,0,1,1,31,1,2.845813908,2.998762488,0
1,1,1,1,6,32,6,3.787900176,3.828617498,0
0,1,0,1,1,19,1,0.827057778,0.240369453,1
0,1,0,1,6,30,6,1.203153085,1.348235676,0
1,1,1,1,12,25,12,2.720949272,2.6317952,0
1,1,1,1,1,31,1,3.209360887,3.00993657,0
1,1,1,0,1,34,1,2.337585939,2.379836781,0
1,1,1,1,12,24,12,2.807080013,2.792703483,0
1,1,0,0,6,33,6,4.078849976,4.056953891,0
1,1,1,1,12,34,12,0.292328553,0.346988058,0
1,1,1,1,12,30,12,1.437812609,1.476493242,0
1,1,0,1,1,33,1,0,0,0
0,1,1,1,12,32,12,1.162189898,1.188477882,0
0,1,1,1,6,34,6,0.910312619,0.924943723,0
1,1,1,1,12,32,12,2.76972281,2.680119456,0
1,1,1,1,6,28,5,3.897556158,3.798186435,0
0,1,1,1,1,24,1,1.801802355,1.783345031,1
1,1,1,1,1,28,1,2.847474911,2.222145673,1
0,1,1,0,12,22,9,2.257147379,2.07673591,0
0,1,0,1,1,27,1,1.148799231,0.685583498,1
1,1,1,1,6,24,6,0.594216734,0.530939608,0
0,1,1,1,12,29,12,1.689835002,1.795578626,0
1,1,0,1,6,31,5,2.42064381,2.459717479,0
1,1,1,1,12,32,10,0.516725533,0.519706849,0
1,1,0,1,6,25,6,3.33859495,3.417173096,0
1,1,1,1,6,28,6,1.693098817,1.582497344,0
1,1,0,1,12,27,11,4.153562734,4.131961404,0
0,0,1,1,1,29,1,1.433896724,1.30513591,0
1,1,1,0,1,35,1,0.966904411,1.046527411,0
0,1,1,1,1,32,1,1.937790849,1.890365857,0
1,1,1,1,1,29,1,0.011360768,0,1
1,1,1,1,12,29,11,1.424358267,1.42810968,0
1,1,1,1,12,24,7,1.525400673,1.539724744,0
1,1,0,1,6,30,6,1.388770872,1.380459137,0
0,1,0,1,6,29,6,3.14596347,3.225146181,0
0,0,1,1,1,22,1,2.118981292,1.236522272,1
0,1,0,1,12,35,12,2.708948567,2.715932881,0
0,1,0,1,1,27,1,2.397743211,2.510323044,0
0,1,0,1,12,30,12,2.659122931,2.680402734,0
1,1,0,1,6,31,6,4.483104094,4.294358956,0
0,1,1,1,12,32,6,2.361846303,2.405736084,0
1,1,1,1,12,24,12,1.04581609,0.962670029,0
0,1,1,1,12,32,12,0.842426201,0.907175844,0
0,1,1,1,1,28,1,0.918303294,0.841356602,0
1,1,0,1,1,32,1,1.498554142,1.461225146,0
0,1,1,1,6,27,5,1.541370601,1.483626521,0
0,1,0,1,1,24,1,0.77079295,0.56216919,1
1,1,1,0,12,27,12,0.760944625,0.503983304,0
0,1,0,1,1,32,1,3.088049963,3.208833247,0
0,1,0,1,6,31,5,1.669949767,1.700592097,0
1,1,0,1,1,29,1,1.631406877,1.591882816,1
0,1,0,0,1,28,1,3.405116942,3.364224411,0
0,0,0,1,1,22,1,0.754359914,0.57805619,1
1,1,0,1,1,33,1,0,0,0
1,1,0,1,1,29,1,2.676649685,2.445804997,0
1,0,0,1,1,31,1,2.641608278,2.715534974,0
0,1,0,0,12,31,9,2.670232821,2.784376403,0
1,1,1,1,6,25,6,2.499293313,2.342455794,0
0,1,0,1,1,32,1,2.367566862,0.834662168,1
0,1,1,1,12,27,9,2.406718904,2.344109879,0
0,1,1,1,1,24,1,2.192709384,1.129857859,1
1,0,1,1,1,32,1,1.729395601,1.70127818,0
1,1,0,1,6,28,6,1.981469192,2.124235721,0
1,1,1,0,1,28,1,3.165174815,3.138332436,0
1,1,1,1,1,35,1,0.21423448,0.210116563,0
0,0,1,1,1,33,1,1.119959142,1.113918685,0
1,1,0,1,1,27,1,1.447117594,1.628643384,0
1,1,1,1,1,23,1,1.019297451,0.96757678,1
0,1,0,1,6,30,5,2.204967394,2.301399347,0
1,1,0,0,1,31,1,1.779613433,1.730012885,0
0,1,1,1,6,33,5,2.346198909,2.501319643,0
1,1,0,1,1,30,1,1.005050022,0.948592752,0
1,1,1,1,12,31,7,2.337338967,2.300422886,0
1,1,0,1,12,29,11,2.180725245,2.335271955,0
1,1,0,1,6,31,6,0.142913226,0.081246481,0
1,1,1,1,1,26,1,0,0.135522356,0
1,1,1,1,6,27,6,1.288605503,1.159818646,0
0,1,1,1,6,34,5,2.54473836,2.565071508,0
1,1,0,1,1,27,1,1.223972334,0.333388585,1
0,0,1,1,1,32,1,2.119595771,1.701282413,1
0,1,1,1,12,24,12,0.787334515,0.77881794,0
1,1,1,1,6,31,6,1.501624842,1.59731668,0
1,1,1,1,12,29,10,1.860886489,1.528046599,1
0,1,0,1,1,33,1,2.382581585,2.404426321,0
0,0,0,1,1,27,1,1.301954602,0.937431306,1
1,1,0,1,1,31,1,1.430031962,0.668511331,1
0,1,0,0,6,31,6,1.923031275,1.086692343,1
1,1,0,1,12,30,12,0.496524228,0.608898784,0
1,1,1,1,12,31,8,4.565135728,4.594345938,0
0,1,1,1,12,33,12,0.250638594,0.202085519,0
0,1,1,0,6,30,6,1.587507564,1.413307187,0
0,1,1,1,1,30,1,3.468868072,3.382426486,0
1,0,0,1,1,29,1,0.669882362,0.70396253,0
1,1,1,1,12,27,11,2.144770955,2.136519077,0
1,1,0,0,6,32,3,1.650823336,1.650316757,0
1,1,0,1,1,32,1,3.086215422,3.027096547,0
1,1,1,1,12,33,12,2.215170315,2.251199177,0
0,1,0,1,1,24,1,2.075946756,1.067656548,1
1,1,0,0,12,28,12,2.964377993,2.818102795,0
1,1,0,1,1,28,1,2.048010812,2.289283202,1
0,1,1,0,1,29,1,2.290297572,2.333855404,0
1,0,1,1,6,27,5,1.248287113,1.051045948,0
0,1,1,1,6,30,6,1.64864686,1.600196595,0
0,1,1,1,1,27,1,0.401055754,0,1
0,1,0,1,1,28,1,2.02960911,1.691632098,1
1,1,0,1,1,30,1,3.606000877,3.473234319,0
0,0,1,1,12,30,12,3.065423417,2.916888599,0
0,1,0,1,12,27,9,2.247282208,2.251550887,0
1,1,0,1,1,32,1,1.600596255,1.516364868,0
0,1,0,1,1,28,1,2.092353221,2.154555805,0
1,1,1,1,1,26,1,2.881127394,2.76351742,0
0,1,1,0,1,28,1,1.193578199,1.273457931,0
0,1,1,1,1,28,1,3.171736422,3.157033382,0
1,1,1,1,12,34,12,1.295266865,1.134766999,0
0,1,1,1,12,32,10,1.47117735,1.490912665,0
1,1,0,1,1,28,1,1.581349539,1.692514418,0
1,1,0,0,1,30,1,3.256975984,3.29592165,0
0,1,1,1,12,35,12,2.384476224,2.295619796,0
1,1,1,1,1,30,1,0.904818331,0.86574759,0
1,1,1,1,12,31,7,3.478646357,2.272774967,1
1,1,0,1,6,33,6,1.362509946,1.335840951,0
1,1,1,1,1,27,1,2.230709651,2.169468299,0
0,1,0,1,1,25,1,1.794838255,1.706944697,1
1,0,1,1,1,34,1,2.844135683,2.965650781,0
0,1,1,1,12,31,11,3.225482248,3.209303102,0
1,1,0,1,6,27,6,2.826340222,2.932441596,0
